selected_row,pooled_source_row,trial_id,plane_index,cluster_index,correlation
83,112548,04162024_6f_a1_r1,2,548,0.074032313548788059
85,116097,04162024_6f_a1_r1,4,97,0.047223081394901438
88,112954,04162024_6f_a1_r1,2,954,0.065540149612670157
89,66246,04032024_6f_a2_r5,6,246,0.078351004327137735
90,82332,04032024_6f_a2_r5,14,332,0.098777342905564142
91,80676,04032024_6f_a2_r5,13,676,0.0717775231431656
92,82319,04032024_6f_a2_r5,14,319,0.082070626500048593
93,237600,04192024_6f_a1_r6,10,1600,0.096501488234015526
96,282091,04192024_6f_a1_r9,6,91,0.05045557366134059
98,290047,04192024_6f_a1_r9,10,47,0.046376989836037642
99,112004,04162024_6f_a1_r1,2,4,0.034232212671347483
100,284438,04192024_6f_a1_r9,7,438,0.055906842217807645
101,288327,04192024_6f_a1_r9,9,327,0.072479454122073253
102,70468,04032024_6f_a2_r5,8,468,0.099232827984248664
103,230801,04192024_6f_a1_r6,7,801,0.10335410803885219
104,54117,04032024_6f_a2_r5,0,117,0.093546933125691081
105,293502,04192024_6f_a1_r9,11,1502,0.052642094227134069
106,190489,04192024_6f_a1_r2,14,489,0.076290126662403784
107,112984,04162024_6f_a1_r1,2,984,0.065393559501545476
110,125869,04162024_6f_a1_r1,8,1869,0.040217354553394244
112,170256,04192024_6f_a1_r2,4,256,0.056994531104672945
113,229684,04192024_6f_a1_r6,6,1684,0.081119093378235904
116,237848,04192024_6f_a1_r6,10,1848,0.10227923241237891
117,162478,04192024_6f_a1_r2,0,478,0.098222260677421083
118,172953,04192024_6f_a1_r2,5,953,0.065185532775801872
119,67568,04032024_6f_a2_r5,6,1568,0.085480560914132836
120,61290,04032024_6f_a2_r5,3,1290,0.086417399765791561
122,66369,04032024_6f_a2_r5,6,369,0.089434029935933787
123,108644,04162024_6f_a1_r1,0,644,0.070672734690721981
124,182180,04192024_6f_a1_r2,10,180,0.080835677539365769
125,282341,04192024_6f_a1_r9,6,341,0.05903876772937134
126,54182,04032024_6f_a2_r5,0,182,0.089372654047100611
128,171766,04192024_6f_a1_r2,4,1766,0.070276430602482162
129,108582,04162024_6f_a1_r1,0,582,0.04901969064390483
130,278388,04192024_6f_a1_r9,4,388,0.083143409417825706
131,112335,04162024_6f_a1_r1,2,335,0.068734847625051748
133,166458,04192024_6f_a1_r2,2,458,0.073234050042809848
134,60032,04032024_6f_a2_r5,3,32,0.07889664897593672
136,280921,04192024_6f_a1_r9,5,921,0.07195400417505067
138,288837,04192024_6f_a1_r9,9,837,0.054319500109181726
139,190064,04192024_6f_a1_r2,14,64,0.058315787799972776
140,224956,04192024_6f_a1_r6,4,956,0.10247277865793492
143,64441,04032024_6f_a2_r5,5,441,0.1056028124960267
144,108742,04162024_6f_a1_r1,0,742,0.06130438255169654
145,192685,04192024_6f_a1_r2,15,685,0.090640902879456892
146,171088,04192024_6f_a1_r2,4,1088,0.079833209826348089
147,73211,04032024_6f_a2_r5,9,1211,0.093811019670098611
150,227734,04192024_6f_a1_r6,5,1734,0.095801437375683487
151,56371,04032024_6f_a2_r5,1,371,0.10005209587406871
152,171532,04192024_6f_a1_r2,4,1532,0.097423773076577166
153,220147,04192024_6f_a1_r6,2,147,0.1044052241261121
154,118845,04162024_6f_a1_r1,5,845,0.0684711951780618
155,120449,04162024_6f_a1_r1,6,449,0.062409957333661115
157,278252,04192024_6f_a1_r9,4,252,0.055536435611303496
158,86895,04032024_6f_a2_r5,16,895,0.06059396423127196
159,178869,04192024_6f_a1_r2,8,869,0.097240422751752778
160,62646,04032024_6f_a2_r5,4,646,0.10764311831070199
162,60107,04032024_6f_a2_r5,3,107,0.08159137915829702
163,203412,04192024_6f_a1_r2,20,1412,0.10156617360926408
164,70895,04032024_6f_a2_r5,8,895,0.075656317457950456
165,165202,04192024_6f_a1_r2,1,1202,0.10716479736255614
166,284222,04192024_6f_a1_r9,7,222,0.054844266102564654
167,110417,04162024_6f_a1_r1,1,417,0.069048774302095703
